dest_ip,dest_port,metadata_comment
173.245.49.89,80,proxylist.txt
23.227.38.169,80,proxylist.txt
172.67.177.155,80,proxylist.txt
172.67.181.122,80,proxylist.txt
172.67.182.118,80,proxylist.txt
172.67.182.140,80,proxylist.txt
172.67.249.180,80,proxylist.txt
45.80.111.91,80,proxylist.txt
172.67.180.87,80,proxylist.txt
172.67.180.72,80,proxylist.txt
185.238.228.23,80,proxylist.txt
173.245.49.240,80,proxylist.txt
172.64.154.232,80,proxylist.txt
141.101.122.56,80,proxylist.txt
141.101.121.68,80,proxylist.txt
103.21.244.155,80,proxylist.txt
172.67.181.230,80,proxylist.txt
108.162.198.108,80,proxylist.txt
40.89.145.14,80,proxylist.txt
172.67.130.202,80,proxylist.txt
172.64.155.76,80,proxylist.txt
173.245.59.100,80,proxylist.txt
172.64.145.201,80,proxylist.txt
23.227.60.161,80,proxylist.txt
172.67.131.62,80,proxylist.txt
23.227.39.46,80,proxylist.txt
172.67.112.219,80,proxylist.txt
66.235.200.169,80,proxylist.txt
172.64.148.34,80,proxylist.txt
172.67.70.180,80,proxylist.txt
141.101.123.131,80,proxylist.txt
141.101.121.182,80,proxylist.txt
141.101.121.242,80,proxylist.txt
141.101.120.202,80,proxylist.txt
172.67.254.243,80,proxylist.txt
172.67.80.120,80,proxylist.txt
172.67.93.9,80,proxylist.txt
188.114.98.171,80,proxylist.txt
172.67.167.220,80,proxylist.txt
172.67.176.6,80,proxylist.txt
172.67.180.60,80,proxylist.txt
173.245.49.52,80,proxylist.txt
172.67.254.151,80,proxylist.txt
172.67.181.213,80,proxylist.txt
141.101.113.2,80,proxylist.txt
172.67.181.170,80,proxylist.txt
103.87.149.14,80,proxylist.txt
62.60.131.193,8090,proxylist.txt
172.238.22.205,80,proxylist.txt
174.77.111.196,4145,proxylist.txt
203.189.135.105,1080,proxylist.txt
98.170.57.241,4145,proxylist.txt
206.220.175.2,4145,proxylist.txt
184.181.217.206,4145,proxylist.txt
173.245.58.117,80,proxylist.txt
108.162.198.240,80,proxylist.txt
172.64.81.196,80,proxylist.txt
188.114.97.114,80,proxylist.txt
172.67.161.205,80,proxylist.txt
173.245.49.137,80,proxylist.txt
173.245.49.125,80,proxylist.txt
172.64.69.124,80,proxylist.txt
190.93.244.226,80,proxylist.txt
172.67.216.42,80,proxylist.txt
23.227.39.34,80,proxylist.txt
172.64.149.82,80,proxylist.txt
172.67.164.161,80,proxylist.txt
172.67.165.47,80,proxylist.txt
172.67.172.154,80,proxylist.txt
172.67.171.197,80,proxylist.txt
172.67.177.173,80,proxylist.txt
172.67.176.217,80,proxylist.txt
172.67.176.122,80,proxylist.txt
172.67.75.236,80,proxylist.txt
172.67.182.138,80,proxylist.txt
31.43.179.45,80,proxylist.txt
113.108.13.120,8083,proxylist.txt
97.74.87.226,80,proxylist.txt
172.67.197.71,80,proxylist.txt
141.101.114.30,80,proxylist.txt
141.101.113.129,80,proxylist.txt
141.101.115.142,80,proxylist.txt
172.64.78.71,80,proxylist.txt
188.114.96.228,80,proxylist.txt
188.114.96.140,80,proxylist.txt
172.64.32.88,80,proxylist.txt
172.64.32.135,80,proxylist.txt
172.67.229.27,80,proxylist.txt
23.227.39.231,80,proxylist.txt
45.131.4.134,80,proxylist.txt
66.235.200.133,80,proxylist.txt
66.235.200.143,80,proxylist.txt
141.101.122.8,80,proxylist.txt
141.101.122.74,80,proxylist.txt
172.67.136.118,80,proxylist.txt
103.21.244.60,80,proxylist.txt
172.67.164.242,80,proxylist.txt
141.101.113.173,80,proxylist.txt
141.101.113.108,80,proxylist.txt
173.245.49.207,80,proxylist.txt
188.114.96.48,80,proxylist.txt
172.67.70.26,80,proxylist.txt
66.235.200.144,80,proxylist.txt
23.227.39.196,80,proxylist.txt
141.101.122.165,80,proxylist.txt
141.101.121.57,80,proxylist.txt
141.101.121.163,80,proxylist.txt
172.67.171.208,80,proxylist.txt
159.203.61.169,8080,proxylist.txt
115.127.31.66,8080,proxylist.txt
141.101.114.154,80,proxylist.txt
23.227.60.141,80,proxylist.txt
141.101.114.237,80,proxylist.txt
172.66.0.145,80,proxylist.txt
23.227.39.44,80,proxylist.txt
141.101.122.19,80,proxylist.txt
172.67.116.47,80,proxylist.txt
172.67.70.169,80,proxylist.txt
172.64.86.249,80,proxylist.txt
188.114.96.101,80,proxylist.txt
141.101.123.173,80,proxylist.txt
141.101.121.194,80,proxylist.txt
172.67.187.196,80,proxylist.txt
23.227.38.1,80,proxylist.txt
23.227.38.195,80,proxylist.txt
23.227.38.248,80,proxylist.txt
172.67.167.254,80,proxylist.txt
190.93.245.242,80,proxylist.txt
141.101.123.228,80,proxylist.txt
141.101.114.115,80,proxylist.txt
185.146.173.197,80,proxylist.txt
108.162.198.5,80,proxylist.txt
66.235.200.149,80,proxylist.txt
23.227.39.90,80,proxylist.txt
173.245.49.214,80,proxylist.txt
173.245.49.186,80,proxylist.txt
66.235.200.6,80,proxylist.txt
45.131.7.127,80,proxylist.txt
23.227.38.107,80,proxylist.txt
172.67.254.133,80,proxylist.txt
172.67.181.113,80,proxylist.txt
