dest_ip,metadata_comment
79.179.138.0/24,AS8551 IPv4
84.111.240.0/20,AS8551 IPv4
62.219.152.0/22,AS8551 IPv4
79.178.161.0/24,AS8551 IPv4
81.218.223.0/24,AS8551 IPv4
2a10:8000:8800::/37,AS8551 IPv6
212.179.95.0/24,AS8551 IPv4
79.178.23.0/24,AS8551 IPv4
79.178.208.0/20,AS8551 IPv4
79.178.52.0/24,AS8551 IPv4
212.179.169.0/24,AS8551 IPv4
212.179.224.0/22,AS8551 IPv4
2a10:800a::/32,AS8551 IPv6
79.179.3.0/24,AS8551 IPv4
84.108.16.0/22,AS8551 IPv4
109.67.208.0/20,AS8551 IPv4
62.219.192.0/22,AS8551 IPv4
79.178.151.0/24,AS8551 IPv4
84.108.68.0/22,AS8551 IPv4
84.110.48.0/20,AS8551 IPv4
79.178.224.0/20,AS8551 IPv4
79.178.45.0/24,AS8551 IPv4
79.179.224.0/20,AS8551 IPv4
79.178.112.0/20,AS8551 IPv4
79.179.9.0/24,AS8551 IPv4
212.179.10.0/24,AS8551 IPv4
79.179.37.0/24,AS8551 IPv4
212.179.35.0/24,AS8551 IPv4
79.179.73.0/24,AS8551 IPv4
84.108.100.0/23,AS8551 IPv4
79.179.192.0/24,AS8551 IPv4
2a10:8000:d000::/37,AS8551 IPv6
79.178.21.0/24,AS8551 IPv4
79.181.176.0/20,AS8551 IPv4
212.179.237.0/24,AS8551 IPv4
2a10:8000:3000::/37,AS8551 IPv6
84.108.240.0/22,AS8551 IPv4
79.178.60.0/24,AS8551 IPv4
84.108.32.0/22,AS8551 IPv4
79.179.170.0/24,AS8551 IPv4
212.179.44.0/22,AS8551 IPv4
62.219.19.0/24,AS8551 IPv4
79.177.64.0/20,AS8551 IPv4
81.218.32.0/19,AS8551 IPv4
82.81.118.0/23,AS8551 IPv4
84.109.222.0/24,AS8551 IPv4
212.179.120.0/21,AS8551 IPv4
79.178.50.0/24,AS8551 IPv4
2a10:8001:3000::/37,AS8551 IPv6
79.181.64.0/20,AS8551 IPv4
79.179.40.0/21,AS8551 IPv4
84.108.58.0/23,AS8551 IPv4
79.179.178.0/24,AS8551 IPv4
84.110.0.0/21,AS8551 IPv4
84.111.144.0/20,AS8551 IPv4
79.178.14.0/24,AS8551 IPv4
84.111.176.0/20,AS8551 IPv4
79.177.112.0/20,AS8551 IPv4
2a10:8001:4000::/37,AS8551 IPv6
79.178.0.0/24,AS8551 IPv4
2a10:8001:8000::/37,AS8551 IPv6
2a10:8001:f800::/37,AS8551 IPv6
79.179.128.0/24,AS8551 IPv4
79.179.144.0/24,AS8551 IPv4
79.179.48.0/24,AS8551 IPv4
79.178.168.0/24,AS8551 IPv4
2a10:8000:1800::/37,AS8551 IPv6
81.218.132.0/22,AS8551 IPv4
84.109.96.0/22,AS8551 IPv4
79.178.6.0/24,AS8551 IPv4
84.109.196.0/22,AS8551 IPv4
62.219.80.0/24,AS8551 IPv4
79.181.160.0/19,AS8551 IPv4
79.178.80.0/20,AS8551 IPv4
31.168.254.0/24,AS8551 IPv4
81.218.24.0/24,AS8551 IPv4
79.179.41.0/24,AS8551 IPv4
79.179.128.0/21,AS8551 IPv4
2a10:8000:f000::/37,AS8551 IPv6
79.179.15.0/24,AS8551 IPv4
84.110.192.0/20,AS8551 IPv4
79.179.158.0/24,AS8551 IPv4
79.179.17.0/24,AS8551 IPv4
62.219.160.0/19,AS8551 IPv4
2a10:8000:5800::/37,AS8551 IPv6
84.109.184.0/22,AS8551 IPv4
185.187.33.0/24,AS8551 IPv4
79.178.136.0/24,AS8551 IPv4
79.179.136.0/24,AS8551 IPv4
79.179.54.0/24,AS8551 IPv4
84.110.144.0/20,AS8551 IPv4
84.111.64.0/20,AS8551 IPv4
82.81.144.0/20,AS8551 IPv4
